relativeAltitude,pressure,time
-0.1690673828125,933.3087921142578,1737567783789421300
-0.01055908203125,933.2910919189453,1737567784849063400
0.22991943359375,933.26416015625,1737567785908695300
0.45452880859375,933.2389068603516,1737567786968370200
0.6500244140625,933.2167816162109,1737567788028018200
0.84820556640625,933.194580078125,1737567789087711200
0.9803466796875,933.1798553466797,1737567790147344400
1.06488037109375,933.1702423095703,1737567791206925300
1.13092041015625,933.1629180908203,1737567792266474200
1.18377685546875,933.1568145751953,1737567793326034400
1.21551513671875,933.1533050537109,1737567794385601300
1.24981689453125,933.1493377685547,1737567795445165300
1.28155517578125,933.145751953125,1737567796504752400
1.3291015625,933.1405639648438,1737567797564398300
1.36346435546875,933.1365966796875,1737567798624078300
1.4189453125,933.1303405761719,1737567799683795200
1.47442626953125,933.1242370605469,1737567800743531300
1.5087890625,933.1202697753906,1737567801803272200
1.5537109375,933.1151580810547,1737567802862979000
1.60125732421875,933.1098937988281,1737567803922677200
1.64093017578125,933.1055450439453,1737567804982399200
1.69110107421875,933.0997467041016,1737567806042106400
1.73602294921875,933.0947875976562,1737567807101829400
1.76507568359375,933.0915832519531,1737567808161524200
1.8153076171875,933.0859375,1737567809221179100
1.8681640625,933.079833984375,1737567810280912400
1.9342041015625,933.072509765625,1737567811340609300
1.98968505859375,933.0662536621094,1737567812400316200
2.04254150390625,933.0603790283203,1737567813459981300
2.13238525390625,933.0501556396484,1737567814519644200
2.208984375,933.0416870117188,1737567815579287300
2.36224365234375,933.0244445800781,1737567816638962200
2.539306640625,933.0043792724609,1737567817698657300
2.703125,932.9861450195312,1737567818758328300
2.86956787109375,932.9674530029297,1737567819818006300
3.001708984375,932.9525756835938,1737567820877678300
3.05718994140625,932.9464721679688,1737567821937323300
3.11004638671875,932.9402923583984,1737567822996956400
3.1866455078125,932.9317474365234,1737567824056582100
3.21307373046875,932.9289245605469,1737567825116238300
3.2606201171875,932.9233551025391,1737567826175888400
3.329345703125,932.9158782958984,1737567827235485400
3.38482666015625,932.9096221923828,1737567828295123500
3.4244384765625,932.9051208496094,1737567829354796300
3.5142822265625,932.8948211669922,1737567830414427400
3.5750732421875,932.8879547119141,1737567831474032400
3.60943603515625,932.8842163085938,1737567832533637400
3.656982421875,932.8789520263672,1737567833593238300
3.688720703125,932.8754425048828,1737567834652838100
3.7257080078125,932.8712463378906,1737567835712407300
3.78912353515625,932.8640747070312,1737567836771992300
3.849853515625,932.8573608398438,1737567837831549400
3.9317626953125,932.8479766845703,1737567838891087400
4.029541015625,932.8370666503906,1737567839950665200
4.14581298828125,932.8240966796875,1737567841010279200
4.24359130859375,932.8130340576172,1737567842069858300
4.3360595703125,932.8026580810547,1737567843129480400
4.46026611328125,932.7887725830078,1737567844189117200
4.57916259765625,932.7752685546875,1737567845248746500
4.70068359375,932.7617645263672,1737567846308323300
4.81964111328125,932.7484130859375,1737567847367960300
4.92791748046875,932.7362060546875,1737567848427553300
5.0362548828125,932.7240753173828,1737567849487214300
5.14459228515625,932.7117156982422,1737567850546862300
5.268798828125,932.6978302001953,1737567851606485200
5.37451171875,932.6860809326172,1737567852666111200
5.43792724609375,932.6787567138672,1737567853725763300
5.51190185546875,932.6703643798828,1737567854785394200
5.60699462890625,932.659912109375,1737567855845013500
5.66253662109375,932.6536560058594,1737567856904654300
5.7259521484375,932.6463317871094,1737567857964338200
5.77349853515625,932.6412200927734,1737567859024003300
5.8131103515625,932.63671875,1737567860083661300
5.82635498046875,932.6352691650391,1737567861143337200
5.82635498046875,932.6352691650391,1737567862202948400
5.8131103515625,932.6367950439453,1737567863262561300
5.7840576171875,932.6399993896484,1737567864322210300
5.76025390625,932.6425933837891,1737567865381804300
5.73651123046875,932.6453399658203,1737567866441389300
5.73651123046875,932.6453399658203,1737567867500958200
5.73651123046875,932.645263671875,1737567868560531500
5.75762939453125,932.6429748535156,1737567869620145400
5.78143310546875,932.6402282714844,1737567870679757300
5.7919921875,932.6390075683594,1737567871739379500
5.7919921875,932.6390075683594,1737567872798976300
5.7681884765625,932.6417541503906,1737567873858606300
5.75762939453125,932.6429748535156,1737567874918195200
5.73651123046875,932.6454925537109,1737567875977843200
5.73651123046875,932.6454925537109,1737567877037478100
5.75762939453125,932.6430511474609,1737567878097075200
5.78668212890625,932.6397705078125,1737567879156667100
5.8289794921875,932.6350402832031,1737567880216237300
5.87921142578125,932.6292419433594,1737567881275813400
5.924072265625,932.6242065429688,1737567882335417300
5.9478759765625,932.6215362548828,1737567883395070200
5.98223876953125,932.6177215576172,1737567884454706200
6.03240966796875,932.6119995117188,1737567885514289400
6.0667724609375,932.6081848144531,1737567886573927400
6.11431884765625,932.6027679443359,1737567887633579300
6.15399169921875,932.5983428955078,1737567888693243400
6.1856689453125,932.5948333740234,1737567889752888300
6.21478271484375,932.5917053222656,1737567890812515300
6.25439453125,932.5870513916016,1737567891872021200
6.2913818359375,932.5830841064453,1737567892931573500
6.33099365234375,932.5785064697266,1737567893991099400
6.37066650390625,932.5741577148438,1737567895050655500
6.418212890625,932.5687408447266,1737567896110194200
6.46844482421875,932.5631713867188,1737567897169784300
6.51336669921875,932.5581359863281,1737567898229366300
6.5740966796875,932.5511169433594,1737567899288936400
6.62164306640625,932.5458526611328,1737567900348496100
6.66656494140625,932.5407409667969,1737567901408050200
6.7247314453125,932.5343322753906,1737567902467621400
6.806640625,932.5252532958984,1737567903527218400
6.8885498046875,932.5157928466797,1737567904586806300
6.9915771484375,932.5041961669922,1737567905646373400
7.06561279296875,932.4959564208984,1737567906705951200
